DATA_F5484A	castle_level_torch_frame1
DATA_F54BCA	castle_level_torch_frame2
DATA_F54F4A	castle_level_torch_frame3
DATA_F552CA	castle_level_torch_frame4
DATA_F5564A	castle_level_torch_frame5
DATA_F559CA	castle_level_torch_frame6

DATA_F30EBB	mine_level_falling_debris_frame1
DATA_F30FCB	mine_level_falling_debris_frame2
DATA_F310DB	mine_level_falling_debris_frame3
DATA_F311EB	mine_level_falling_debris_frame4
DATA_F312FB	mine_level_falling_debris_frame5
DATA_F3140B	mine_level_falling_debris_frame6
DATA_F3151B	mine_level_falling_debris_frame7
DATA_F3162B	mine_level_falling_debris_frame8

DATA_F56C13	falling_leaves_frame1
DATA_F56E33	falling_leaves_frame2
DATA_F57053	falling_leaves_frame3
DATA_F57273	falling_leaves_frame4
DATA_F57493	falling_leaves_frame5
DATA_F576B3	falling_leaves_frame6
DATA_F578D3	falling_leaves_frame7
DATA_F57AF3	falling_leaves_frame8

DATA_F517C7	wasp_hive_level_larva_frame1
DATA_F51907	wasp_hive_level_larva_frame2
DATA_F51A47	wasp_hive_level_larva_frame3
DATA_F51B87	wasp_hive_level_larva_frame4

DATA_F51CC7	wasp_hive_level_zinger_frame1
DATA_F51D67	wasp_hive_level_zinger_frame2
DATA_F51E07	wasp_hive_level_zinger_frame3
DATA_F51EA7	wasp_hive_level_zinger_frame4
DATA_F51F47	wasp_hive_level_zinger_frame5
DATA_F51FE7	wasp_hive_level_zinger_frame6

DATA_F41852	haunted_hall_level_kackle_frame1
DATA_F41BD2	haunted_hall_level_kackle_frame2
DATA_F41F52	haunted_hall_level_kackle_frame3
DATA_F422D2	haunted_hall_level_kackle_frame4
DATA_F42652	haunted_hall_level_kackle_frame5
DATA_F429D2	haunted_hall_level_kackle_frame6
DATA_F42CD2	haunted_hall_level_kackle_frame7
DATA_F42FD2	haunted_hall_level_kackle_frame8
DATA_F432D2	haunted_hall_level_kackle_frame9
DATA_F435D2	haunted_hall_level_kackle_frame10
DATA_F438D2	haunted_hall_level_kackle_frame11
DATA_F43BD2	haunted_hall_level_kackle_frame12
DATA_F43ED2	haunted_hall_level_kackle_frame13
DATA_F441D2	haunted_hall_level_kackle_frame14

DATA_F36EE8	kreepy_krow_rain_frame1
DATA_F370E8	kreepy_krow_rain_frame2
DATA_F372E8	kreepy_krow_rain_frame3
DATA_F374E8	kreepy_krow_rain_frame4
DATA_F376E8	kreepy_krow_rain_frame5
DATA_F378E8	kreepy_krow_rain_frame6
DATA_F37AE8	kreepy_krow_rain_frame7
DATA_F37CE8	kreepy_krow_rain_frame8

DATA_F50147	lava_level_small_bubbles_frame1
DATA_F502C7	lava_level_small_bubbles_frame2
DATA_F50447	lava_level_small_bubbles_frame3
DATA_F505C7	lava_level_small_bubbles_frame4
DATA_F50747	lava_level_small_bubbles_frame5
DATA_F508C7	lava_level_small_bubbles_frame6
DATA_F50A47	lava_level_small_bubbles_frame7
DATA_F50BC7	lava_level_small_bubbles_frame8
DATA_F50D47	lava_level_small_bubbles_frame9
DATA_F50EC7	lava_level_small_bubbles_frame10
DATA_F51047	lava_level_small_bubbles_frame11
DATA_F511C7	lava_level_small_bubbles_frame12
DATA_F51347	lava_level_small_bubbles_frame13
DATA_F514C7	lava_level_small_bubbles_frame14
DATA_F51647	lava_level_small_bubbles_frame15

DATA_FB0AE0	lava_level_large_bubbles_frame1
DATA_FB0DA0	lava_level_large_bubbles_frame2
DATA_FB1060	lava_level_large_bubbles_frame3
DATA_FB1320	lava_level_large_bubbles_frame4
DATA_FB15E0	lava_level_large_bubbles_frame5
DATA_FB18A0	lava_level_large_bubbles_frame6
DATA_FB1B60	lava_level_large_bubbles_frame7
DATA_FB1E20	lava_level_large_bubbles_frame8
DATA_FB20E0	lava_level_large_bubbles_frame9
DATA_FB23A0	lava_level_large_bubbles_frame10
DATA_FB2660	lava_level_large_bubbles_frame11
DATA_FB2920	lava_level_large_bubbles_frame12
DATA_FB2BE0	lava_level_large_bubbles_frame13
DATA_FB2EA0	lava_level_large_bubbles_frame14
DATA_FB3160	lava_level_large_bubbles_frame15

DATA_FB3420	lava_level_medium_bubbles_frame1
DATA_FB35C0	lava_level_medium_bubbles_frame2
DATA_FB3760	lava_level_medium_bubbles_frame3
DATA_FB3900	lava_level_medium_bubbles_frame4
DATA_FB3AA0	lava_level_medium_bubbles_frame5
DATA_FB3C40	lava_level_medium_bubbles_frame6
DATA_FB3DE0	lava_level_medium_bubbles_frame7
DATA_FB3F80	lava_level_medium_bubbles_frame8
DATA_FB4120	lava_level_medium_bubbles_frame9
DATA_FB42C0	lava_level_medium_bubbles_frame10
DATA_FB4460	lava_level_medium_bubbles_frame11
DATA_FB4600	lava_level_medium_bubbles_frame12
DATA_FB47A0	lava_level_medium_bubbles_frame13
DATA_FB4940	lava_level_medium_bubbles_frame14
DATA_FB4AE0	lava_level_medium_bubbles_frame15

DATA_FA0B20	lost_world_beam_frame1
DATA_FA0EA0	lost_world_beam_frame2
DATA_FA1220	lost_world_beam_frame3
DATA_FA15A0	lost_world_beam_frame4
DATA_FA1920	lost_world_beam_frame5
DATA_FA1CA0	lost_world_beam_frame6
DATA_FA2020	lost_world_beam_frame7
DATA_FA23A0	lost_world_beam_frame8

DATA_FA2720	lost_world_head_frame1
DATA_FA2E20	lost_world_head_frame2
DATA_FA3520	lost_world_head_frame3
DATA_FA3C20	lost_world_head_frame4

DATA_F321E8	krocodile_kore_level_beam_frame1
DATA_F32B88	krocodile_kore_level_beam_frame2
DATA_F33528	krocodile_kore_level_beam_frame3
DATA_F33EC8	krocodile_kore_level_beam_frame4
DATA_F34868	krocodile_kore_level_beam_frame5
DATA_F35208	krocodile_kore_level_beam_frame6
DATA_F35BA8	krocodile_kore_level_beam_frame7
DATA_F36548	krocodile_kore_level_beam_frame8

DATA_FA5FC1	ship_mast_level_flag_frame1
DATA_FA6381	ship_mast_level_flag_frame2
DATA_FA6741	ship_mast_level_flag_frame3
DATA_FA6B01	ship_mast_level_flag_frame4
