DATA_FD6772	shuri_orange_sprite_palette
DATA_FD7148	shuri_pink_sprite_palette
DATA_FD6790	kruncha_blue_sprite_palette
DATA_FD67AE	kruncha_red_sprite_palette
DATA_FD67CC	kruncha_angry_sprite_palette
DATA_FD66DC	klomp_sprite_palette
DATA_FD66FA	kannon_sprite_palette
DATA_FD785C	krook_sprite_palette
DATA_FD6ED4	kloak_sprite_palette
DATA_FD6C40	klinger_sprite_palette
DATA_FD6E20	klampon_sprite_palette
DATA_FD6808	lockjaw_sprite_palette
DATA_FD7710	snapjaw_sprite_palette
DATA_FD698E	neek_sprite_palette
DATA_FD6DA8	spiny_sprite_palette
DATA_FD69AC	cat_o_9_tails_sprite_palette
DATA_FD69CA	mini_necky_sprite_palette
DATA_FD69E8	mini_necky_ghost_sprite_palette
DATA_FD77E2	click_clack_sprite_palette
DATA_FD6862	click_clack_credits_sprite_palette
DATA_FD710C	puftup_green_sprite_palette
DATA_FD712A	puftup_purple_sprite_palette
DATA_FD6BC8	puftup_brown_sprite_palette
DATA_FD689E	kutlass_yellow_sprite_palette
DATA_FD7788	kutlass_green_sprite_palette
DATA_FD7078	klank_blue_sprite_palette
DATA_FD7898	klank_orange_sprite_palette
DATA_FD78B6	klank_pink_sprite_palette
DATA_FD6BE6	zinger_red_sprite_palette
DATA_FD6C04	zinger_yellow_sprite_palette
DATA_FD6C22	zinger_unused_sprite_palette
DATA_FD6C7C	blue_flotsam_sprite_palette
DATA_FD6CD6	green_flotsam_sprite_palette
DATA_FD6C9A	flotsam_unused_1_sprite_palette
DATA_FD6CB8	flotsam_unused_2_sprite_palette
DATA_FD6C5E	flitter_sprite_palette
DATA_FD6D30	flitter_unused_1_sprite_palette
DATA_FD6D4E	flitter_unused_2_sprite_palette
DATA_FD6D6C	flitter_unused_3_sprite_palette
DATA_FD6D8A	flitter_unused_4_sprite_palette
DATA_FD6B32	kaboing_grey_sprite_palette
DATA_FD6B50	kaboing_green_sprite_palette
DATA_FD6A06	klobber_green_sprite_palette
DATA_FD6F6A	klobber_yellow_sprite_palette
DATA_FD6F88	klobber_black_sprite_palette
DATA_FD6AD8	klobber_red_sprite_palette
