DATA_D4FC2D	wasp_hive_bg_layer_3_8x8_tilemap
DATA_D8FB53	wasp_hive_honey_layer_1_8x8_tilemap
DATA_D6F791	wasp_hive_bg_layer_3_tiledata
DATA_EB2EA0	wasp_hive_honey_layer_1_tiledata
DATA_EAA94D	brambles_sky_bg_layer_3_tiledata
DATA_DDFDBA	brambles_sky_bg_layer_3_8x8_tilemap
DATA_EAB6F0	brambles_bg_layer_2_tiledata
DATA_F80000	brambles_bg_layer_2_8x8_tilemap

DATA_C7FCB8	ship_deck_ocean_layer_2_8x8_tilemap
DATA_E9FDB3	ship_deck_ocean_layer_2_tiledata
DATA_F52BA7	ship_deck_rigging_layer_3_tiledata
DATA_EA5978	ship_deck_cabin_tiledata
DATA_C8F99C	ship_deck_cabin_8x8_tilemap

DATA_EA121C	ship_mast_sky_bg_layer_2_tiledata
DATA_CAFABE	ship_mast_sky_bg_layer_2_8x8_tilemap
DATA_D1F971	ship_mast_clouds_fg_layer_3_8x8_tilemap
DATA_EA8D3C	ship_mast_clouds_fg_layer_3_tiledata
DATA_F31A31	ship_mast_rain_layer_3_8x8_tilemap

DATA_FB6FC0	forest_bg_layer_3_tiledata
DATA_D5FEB3	forest_bg_layer_3_8x8_tilemap
DATA_EA972E	forest_light_shafts_layer_1_tiledata
DATA_D0FE0D	forest_light_shafts_layer_1_8x8_tilemap

DATA_EA10BB	water_layer_3_tiledata
DATA_C1FEC0	water_layer_3_8x8_tilemap
DATA_E98B07	falling_leaves_8x8_tilemap
DATA_F56C13	falling_leaves_tiledata


DATA_CFFFD9	carnival_bg_layer_2_8x8_tilemap
DATA_EA23D4	carnival_bg_layer_2_tiledata


DATA_EAD1D1	lava_fall_layer_3_tiledata
DATA_E9A045	lava_fall_layer_3_8x8_tilemap

DATA_F60000	mine_bg_layer_2_tiledata
DATA_D3FAF0	mine_bg_layer_2_8x8_tilemap
DATA_EB2B84	mine_sparkle_layer_3_tiledata
DATA_D9F7C9	mine_sparkle_layer_3_8x8_tilemap
DATA_ED8415	mine_debris_layer_3_8x8_tilemap
DATA_F30EBB	mine_debris_layer_3_tiledata


DATA_EA4E35	swamp_bg_layer_3_tiledata
DATA_C9F99A	swamp_bg_layer_3_8x8_tilemap
DATA_EA3BEA	swamp_fg_layer_1_tiledata
DATA_CDFEE1	swamp_fg_1_layer_1_8x8_tilemap
DATA_DAFBB1	swamp_fg_2_layer_1_8x8_tilemap
DATA_EC2A29	forest_fog_layer_1_tiledata
DATA_EC2229	forest_fog_layer_1_8x8_tilemap


DATA_F30802	jungle_bg_layer_3_8x8_tilemap
DATA_E97549	jungle_bg_layer_3_tiledata
DATA_DCFA5E	ice_bg_layer_2_8x8_tilemap
DATA_E95623	ice_bg_layer_2_tiledata
DATA_DAFD7E	ice_bg_transparent_layer_3_8x8_tilemap
DATA_F405A2	ice_bg_transparent_layer_3_tiledata
DATA_E98C68	haunted_hall_bg_layer_3_8x8_tilemap
DATA_E9943A	haunted_hall_bg_layer_3_tiledata
DATA_E95221	haunted_hall_kackle_layer_2_tiledata
DATA_CCFEDF	haunted_hall_kackle_layer_2_8x8_tilemap
