DATA_FD70EE	screech_sprite_palette
DATA_FD68BC	coin_sprite_palette
DATA_FD6664	barrel_sprite_palette
DATA_FD6718	cannonball_sprite_palette
DATA_FD6736	cannon_sprite_palette
DATA_FD6754	loaded_cannon_sprite_palette
DATA_FD68DA	no_animals_sign_sprite_palette
DATA_FD6916	level_end_goal_sprite_palette
DATA_FD6934	life_balloon_red_sprite_palette
DATA_FD6952	life_balloon_green_sprite_palette
DATA_FD6970	life_balloon_blue_sprite_palette
DATA_FD6880	water_splash_sprite_palette
DATA_FD6EF2	funky_barrel_wings_sprite_palette
DATA_FD7164	fire_and_explosion_sprite_palette
DATA_FD7184	racing_flag_sprite_palette
DATA_FD71A2	traffic_light_sprite_palette
DATA_FD7678	kudgel_splash_sprite_palette
DATA_FD76D4	donkey_kong_sprite_palette
DATA_FD76F2	flopping_fish_sprite_palette
DATA_FD774C	roof_piece_sprite_palette
DATA_FD6AF6	roller_coaster_gate_sprite_palette
DATA_FD6B14	ghost_rope_sprite_palette
DATA_FD6B6E	haunted_hall_door_sprite_palette
DATA_FD6E5C	bullrush_sprite_palette
DATA_FD6E98	hot_air_balloon_sprite_palette
DATA_FD6EB6	chest_dark_sprite_palette
DATA_FD703C	guitar_sprite_palette
DATA_FD705A	boom_box_sprite_palette
DATA_FD77A6	giant_tire_sprite_palette
DATA_FD6ABA	skull_cart_sprite_palette
DATA_FD7564	k_rool_letter_sprite_palette
DATA_FD6426	map_kong_and_text_sprite_palette
DATA_FD6464	map_kremling_sprite_palette
DATA_FD763A	map_boss_sprite_palette
DATA_FD75FA	map_cranky_wrinkly_sprite_palette
DATA_FD761A	map_funky_swanky_sprite_palette
DATA_FD7696	map_lost_world_step_sprite_palette
DATA_FD7292	map_funky_barrel_sprite_palette
DATA_FD7820	map_k_rool_sprite_palette
DATA_FD783E	map_k_rool_splash_sprite_palette
DATA_FD62DC	wall_ship_deck_sprite_palette
DATA_FD6390	wall_ship_hold_high_sprite_palette
DATA_FD772E	wall_ship_hold_low_sprite_palette
DATA_FD6372	wall_lava_sprite_palette
DATA_FD63AE	wall_ice_sprite_palette
DATA_FD62FA	wall_wasp_hive_sprite_palette
DATA_FD6318	wall_forest_left_sprite_palette
DATA_FD79C4	wall_forest_right_sprite_palette
DATA_FD6336	wall_castle_sprite_palette
DATA_FD6E3E	krockhead_brown_sprite_palette
DATA_FD787A	krockhead_green_sprite_palette
