DATA_80C25F	castle_level_torch_frame_table
DATA_80C963	mine_level_falling_debris_frame_table
DATA_80CCE8	falling_leaves_frame_table
DATA_80CD5E	wasp_hive_level_larva_frame_table
DATA_80CD6E	wasp_hive_level_zingers_frame_table
DATA_80C38C	haunted_hall_level_kackle_frame_table_a
DATA_80C446	haunted_hall_level_kackle_frame_table_b
DATA_80CEF1	kreepy_krow_rain_frame_table
DATA_80CED3	lava_level_small_bubbles_frame_table
DATA_80CE97	lava_level_large_bubbles_frame_table
DATA_80CEB5	lava_level_medium_bubbles_frame_table
DATA_B5D31C	lost_world_beam_frame_table
DATA_B5D32C	lost_world_head_frame_table
DATA_80CAE5	krocodile_kore_level_beam_frame_table
DATA_80CF11	ship_mast_level_flag_frame_table
DATA_80CF01	ship_mast_level_rain_frame_table
