DATA_FD6A24	krow_egg_sprite_palette
DATA_FD6A42	krow_body_sprite_palette
DATA_FD6A60	krow_head_sprite_palette
DATA_FD6DC6	kleever_1_sprite_palette
DATA_FD7438	kleever_2_sprite_palette
DATA_FD7474	kleever_3_sprite_palette
DATA_FD7492	kleever_4_sprite_palette
DATA_FD7456	kleever_5_sprite_palette
DATA_FD6F10	kleever_hurt_1_sprite_palette
DATA_FD6F2E	kleever_hurt_2_sprite_palette
DATA_FD6DE4	kleever_hurt_3_sprite_palette
DATA_FD62BE	klubba_sprite_palette
DATA_FD62A0	klubba_club_sprite_palette
DATA_FD73A2	kudgel_sprite_palette
DATA_FD73C0	kudgel_club_sprite_palette
DATA_FD74B0	king_zing_stinger_1_sprite_palette
DATA_FD74CE	king_zing_stinger_2_sprite_palette
DATA_FD74EC	king_zing_stinger_3_sprite_palette
DATA_FD750A	king_zing_stinger_4_sprite_palette
DATA_FD73DE	king_zing_dark_1_sprite_palette
DATA_FD73FC	king_zing_dark_2_sprite_palette
DATA_FD741A	king_zing_dark_3_sprite_palette
DATA_FD78D4	kreepy_krow_head_sprite_palette
DATA_FD78F2	kreepy_krow_body_sprite_palette
DATA_FD7910	kreepy_krow_dying_head_1_sprite_palette
DATA_FD792E	kreepy_krow_dying_body_1_sprite_palette
DATA_FD794C	kreepy_krow_dying_head_2_sprite_palette
DATA_FD796A	kreepy_krow_dying_body_2_sprite_palette
DATA_FD7988	kreepy_krow_dying_head_3_sprite_palette
DATA_FD79A6	kreepy_krow_dying_body_3_sprite_palette
DATA_FD721A	k_rool_blue_gas_sprite_palette
DATA_FD7238	k_rool_red_gas_sprite_palette
DATA_FD7256	k_rool_purple_gas_sprite_palette
DATA_FD6FE2	k_rool_sprite_palette
DATA_FD7000	k_rool_gun_sprite_palette
DATA_FD701E	k_rool_burnt_sprite_palette
DATA_FD70B4	k_rool_vacuum_sprite_palette
DATA_FD72EE	k_rool_fade_1_sprite_palette
DATA_FD730C	k_rool_fade_2_sprite_palette
DATA_FD732A	k_rool_fade_3_sprite_palette
DATA_FD7348	k_rool_gun_fade_1_sprite_palette
DATA_FD7366	k_rool_gun_fade_2_sprite_palette
DATA_FD7384	k_rool_gun_fade_3_sprite_palette
