DATA_FD228E	kannons_klaim_level_palette
DATA_FD07F0	lava_lagoon_level_palette
DATA_FD238E	squawks_shaft_level_palette
DATA_FD0CD0	pirate_panic_level_palette
DATA_FD1610	mainbrace_mayhem_level_palette
DATA_FD0910	lockjaws_locker_level_palette
DATA_FD14F0	topsail_trouble_level_palette
DATA_FD27EE	barrel_bayou_level_palette
DATA_FD2BEE	glimmers_galleon_level_palette
DATA_FD450E	krockhead_klamber_level_palette
DATA_FD324E	rattle_battle_level_palette
DATA_FD304E	slime_climb_level_palette
DATA_FD28EE	bramble_blast_level_palette
DATA_FD0A10	wasp_hive_level_palette
DATA_FD1710	carnival_level_palette
DATA_FD2AEE	bramble_scramble_level_palette
DATA_FD460E	mudhole_marsh_level_palette
DATA_FD0DF0	lava_level_palette
DATA_FD06F0	ghostly_grove_level_palette
DATA_FD2EEE	haunted_hall_level_palette
DATA_FD0610	gusty_glade_level_palette
DATA_FD3A4E	web_woods_level_palette
DATA_FD2DEE	castle_level_palette
DATA_FD248E	windy_well_level_palette
DATA_FD440E	jungle_jinx_level_palette
DATA_FD398E	ice_level_palette
DATA_FD430E	klobber_karnage_level_palette
DATA_FD0EF0	fiery_furnace_level_palette
DATA_FD3B6E	animal_antics_jungle_level_palette
DATA_FD2CEE	krocodile_kore_level_palette
DATA_FD29EE	screechs_sprint_level_palette
DATA_FD314E	k_rool_duel_level_palette
DATA_FD0FF0	monkey_museum_palette
DATA_FD10F0	funkys_flights_palette
DATA_FD11F0	kong_kollege_palette
DATA_FD12F0	swankys_bonus_bonanza_palette
DATA_FD13F0	klubbas_kiosk_palette
DATA_FD3C6E	file_select_screen_palette
DATA_FD258E	gameover_screen_palette
DATA_FD420E	secret_ending_screen_palette
