DATA_FD6484	diddy_active_sprite_palette
DATA_FD64A2	diddy_inactive_sprite_palette
DATA_FD64C0	diddy_p2_active_sprite_palette
DATA_FD64DE	diddy_p2_inactive_sprite_palette
DATA_FD64FC	diddy_frozen_sprite_palette
DATA_FD651A	diddy_slowed_sprite_palette
DATA_FD6538	diddy_inverted_sprite_palette
DATA_FD6556	diddy_invincible_sprite_palette
DATA_FD6574	dixie_active_sprite_palette
DATA_FD6592	dixie_inactive_sprite_palette
DATA_FD65B0	dixie_p2_active_sprite_palette
DATA_FD65CE	dixie_p2_inactive_sprite_palette
DATA_FD65EC	dixie_frozen_sprite_palette
DATA_FD660A	dixie_slowed_sprite_palette
DATA_FD6628	dixie_inverted_sprite_palette
DATA_FD6646	dixie_invincible_sprite_palette
DATA_FD66A0	squitter_sprite_palette
DATA_FD67EA	rattly_sprite_palette
DATA_FD6826	squawks_sprite_palette
DATA_FD6844	quawks_sprite_palette
DATA_FD6CF4	glimmer_sprite_palette
DATA_FD6D12	rambi_sprite_palette
DATA_FD6F4C	enguarde_sprite_palette
DATA_FD7096	clapper_sprite_palette
DATA_FD6A7E	cranky_kong_sprite_palette
DATA_FD6A9C	swanky_kong_sprite_palette
DATA_FD7528	funky_kong_sprite_palette
DATA_FD7582	wrinkly_kong_sprite_palette
DATA_FD75A0	wrinkly_kong_book_sprite_palette
DATA_FD6446	link_sprite_palette
DATA_FD72B2	yoshi_sprite_palette
DATA_FD72D0	mario_sprite_palette
