DATA_EADA86	crocodile_isle_layer_1_tiledata
DATA_DD0AFC	crocodile_isle_layer_1_8x8_tilemap
DATA_E9E709	crocodile_isle_bg_layer_2_tiledata
DATA_F31C31	crocodile_isle_bg_layer_2_8x8_tilemap
DATA_E9DD37	crocodile_isle_clouds_layer_3_tiledata
DATA_F3173B	crocodile_isle_clouds_layer_3_8x8_tilemap
DATA_E6FCF3	gangplank_galleon_tiledata
DATA_D9F97B	gangplank_galleon_8x8_tilemap
DATA_E75471	crocodile_cauldron_tiledata
DATA_E74D71	crocodile_cauldron_8x8_tilemap
DATA_E79E78	krem_quay_tiledata
DATA_D7F9A7	krem_quay_left_8x8_tilemap
DATA_C4F9C0	krem_quay_right_8x8_tilemap
DATA_E80535	krazy_kremland_bottom_tiledata
DATA_E909EC	krazy_kremland_top_tiledata
DATA_DBFB2C	krazy_kremland_bottom_8x8_tilemap
DATA_DA4C4F	krazy_kremland_top_8x8_tilemap
DATA_E854F8	gloomy_gulch_tiledata
DATA_E84E0D	gloomy_gulch_8x8_tilemap
DATA_F82106	k_rools_keep_tiledata
DATA_E8A6D7	k_rools_keep_8x8_tilemap
DATA_E8B924	the_flying_krock_tiledata
DATA_E8B224	the_flying_krock_8x8_tilemap
DATA_CBAC49	lost_world_tiledata
DATA_E98407	lost_world_8x8_tilemap
