DATA_FC14E0	map_icons_tiledata_frame1
DATA_FC18E0	map_icons_tiledata_frame2
DATA_FC1CE0	map_icons_tiledata_frame3
DATA_FC20E0	map_icons_tiledata_frame4
DATA_FC24E0	map_icons_tiledata_frame5
DATA_FC28E0	map_icons_tiledata_frame6
DATA_FC2CE0	map_icons_tiledata_frame7
DATA_FC30E0	map_icons_tiledata_frame8
DATA_FC34E0	map_icons_tiledata_frame9
DATA_FC38E0	map_icons_tiledata_frame10
DATA_FC3CE0	map_icons_tiledata_frame11
DATA_FC40E0	map_icons_tiledata_frame12
DATA_FC44E0	map_icons_tiledata_frame13
DATA_FC48E0	map_icons_tiledata_frame14
DATA_FC4CE0	map_icons_tiledata_frame15
DATA_FC50E0	map_icons_tiledata_frame16
DATA_FC54E0	unknown_water_drop
DATA_FC5680	unknown
