DATA_FD0408	error_screen_text_layer_3_palette
DATA_FD2FEE	kackle_2_layer_2_palette
DATA_FD300E	kackle_3_layer_2_palette
DATA_FD302E	kackle_4_layer_2_palette
DATA_FD08F0	water_hot_fade_layer_3_palette
DATA_FD2DCE	water_toxic_layer_3_palette
DATA_FD394E	water_frozen_layer_3_palette
DATA_FD268E	falling_leaves_layer_1_palette
DATA_FD27CE	nintendo_copyright_layer_1_palette
DATA_FD3DEE	destroy_them_all_layer_1_palette
DATA_FD3EAE	collect_the_stars_layer_1_palette
DATA_FD3F6E	find_the_token_layer_1_palette
DATA_FD412E	credits_header_layer_1_palette
DATA_FD414E	credits_name_text_layer_1_palette
DATA_FD0DD0	red_hot_ride_smoke_layer_3_palette
DATA_FD15F0	topsail_trouble_bg_layer_2_palette
DATA_FD2170	ship_deck_cabin_level_palette
DATA_FD26AE	title_screen_palette
DATA_FD2270	mine_glint_layer_3_palette
DATA_FD402E	video_game_hero_screen_palette
