DATA_ED5E3F	file_select_tiledata

DATA_ED7429	file_select_save_file_1_tilemap
DATA_ED7433	file_select_save_file_2_tilemap
DATA_ED743D	file_select_save_file_3_tilemap

DATA_ED744D	file_select_language_1_tilemap
DATA_ED748B	file_select_language_2_tilemap
DATA_ED74C9	file_select_language_3_tilemap

DATA_ED7507	file_select_select_game_tilemap

DATA_ED7569	file_select_copy_erase_tilemap

DATA_ED7607	file_select_save_game_tilemap

DATA_ED763F	file_select_1_player_tilemap
DATA_ED7687	file_select_2_player_team_tilemap
DATA_ED76CF	file_select_2_player_contest_tilemap

DATA_ED7717	file_select_file_empty_tilemap

DATA_ED7855	file_select_char_tilemap
DATA_ED7859	file_select_char_tilemap
DATA_ED785D	file_select_char_tilemap
DATA_ED7861	file_select_char_tilemap
DATA_ED7865	file_select_char_tilemap
DATA_ED7869	file_select_char_tilemap
DATA_ED786D	file_select_char_tilemap
DATA_ED7871	file_select_char_tilemap
DATA_ED7875	file_select_char_tilemap
DATA_ED7879	file_select_char_tilemap
DATA_ED787D	file_select_char_tilemap
DATA_ED7881	file_select_char_tilemap
DATA_ED7885	file_select_char_tilemap

DATA_ED7889	file_select_percentage_tilemap

DATA_ED7897	file_select_mono_tilemap
DATA_ED78B5	file_select_stereo_tilemap

DATA_FB0000	file_select_dk_coin_tiledata
DATA_FB0400	file_select_krem_coin_tiledata

DATA_EC4D40	game_select_tiledata

DATA_EC83A0	file_select_bg_tiledata
DATA_EC7CF0	file_select_bg_tilemap
